 Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2,Activity_Name
133755,101028,6570,4039,11846,2128,1281,805,Stationary
346221,40740,8264,9140,1942,2797,1468,659,Stationary
138842,23868,6823,4271,3045,1387,1571,514,Stationary
345213,35776,23974,492,1996,3358,1319,452,Stationary
466418,50039,22093,15618,8380,3131,1247,653,Stationary
1151763,67531,35730,10297,19724,10626,9320,2610,Stationary
114114,63979,27551,6933,2807,4857,1555,2730,Stationary
101777,77178,44725,17040,28176,11461,5376,5385,Stationary
112379,50816,4270,4872,14815,10320,2323,989,Stationary
606558,47196,32439,37107,52962,23733,6573,8724,Stationary
390962,334078,27617,11245,17739,17290,6612,4068,Stationary
184340,69447,24574,11782,20764,11313,6970,2483,Stationary
500710,109600,72897,12013,31913,9565,3384,2429,Stationary
65569,24147,12999,18238,5253,2579,3492,1385,Stationary
276979,347141,66461,27557,11367,14280,4605,3080,Stationary
41455,36938,15381,19832,11076,16401,4677,3694,Stationary
55696,33003,11199,21596,5795,9885,4966,1743,Stationary
230771,111529,46833,9604,42687,7725,7732,2067,Stationary
563208,36823,29785,19039,29966,12237,8501,3057,Stationary
73141,42878,12528,19900,15128,9709,1515,1557,Stationary
22365,6873,13435,5848,5377,7215,4751,5234,Stationary
166203,20976,1449,7585,1863,2333,1133,754,Light Ambulatory
45140,17278,4161,10955,11154,4940,4660,1096,Light Ambulatory
481646,81366,42927,8529,5428,12891,10352,3373,Light Ambulatory
490278,36503,14816,14651,7396,3922,2283,848,Light Ambulatory
525005,351449,15636,20626,13597,14031,18200,15243,Light Ambulatory
115482,35695,38968,6642,13516,2987,3947,5663,Light Ambulatory
104703,74188,26962,6442,8271,14741,21918,12397,Light Ambulatory
114796,114660,20271,19960,10948,13980,7297,4838,Light Ambulatory
934760,191923,22907,42670,58416,14848,21190,17094,Light Ambulatory
485624,85955,13328,16106,21926,15301,10452,14716,Light Ambulatory
289140,52063,33140,10898,15321,11480,22482,9159,Light Ambulatory
127890,19980,4314,2479,3821,1307,2174,451,Light Ambulatory
826091,199305,34496,9015,14514,20441,24015,29989,Light Ambulatory
181829,106225,11108,3416,7743,2880,29923,1876,Light Ambulatory
219929,42977,4660,2964,4001,6177,10106,1768,Light Ambulatory
1682384,333560,71952,16147,20626,19202,25057,9280,Light Ambulatory
399548,22295,5190,4605,1682,4425,4134,1848,Light Ambulatory
1071156,187306,33669,17453,25901,32876,31189,11037,Light Ambulatory
469471,98332,9048,8226,5754,8732,5525,1916,Light Ambulatory
658062,669105,168883,27606,31947,62513,28766,9614,Light Ambulatory
117825,26990,9631,4727,11626,4781,4705,1014,Light Ambulatory
83607,36853,8747,3413,3275,5235,4484,3318,Light Ambulatory
169591,86153,18175,15297,19063,9038,4785,2556,Light Ambulatory
150894,128959,15222,35653,9368,15227,39080,29386,Light Ambulatory
368065,281302,17403,10282,20309,24441,20577,24479,Light Ambulatory
518768,117922,56931,42847,12886,23888,28363,15936,Light Ambulatory
77141,11419,9139,6882,9739,6201,3710,2764,Light Ambulatory
459371,387816,78561,18281,53611,66843,53258,14388,Light Ambulatory
275041,58452,17498,8195,20420,9993,50883,7170,Light Ambulatory
2356608,188826,92381,82063,18600,18283,32986,37114,Light Ambulatory
70930,43674,4793,3657,6563,3565,8338,2179,Light Ambulatory
221566,54780,17178,9713,13676,20144,33794,19041,Light Ambulatory
346706,12282,8108,1572,4426,4722,2441,4112,Light Ambulatory
826972,125030,57496,19758,10331,24722,45362,25090,Light Ambulatory
214731,64059,3060,6893,2596,10600,8278,2313,Light Ambulatory
41987,11255,1603,66,1073,1350,1193,883,Light Ambulatory
606725,30634,3538,3885,1909,7312,10327,7761,Light Ambulatory
1943777,691857,67958,29210,34097,35139,33687,7373,Light Ambulatory
354040,340111,65845,28567,12824,26888,20982,7214,Light Ambulatory
1094853,56487,12337,3890,3807,26311,20299,16880,Light Ambulatory
113484,211520,57427,27000,10446,26573,24244,7305,Light Ambulatory
853426,141024,22291,26714,19387,57689,26099,15478,Light Ambulatory
108209,15378,8864,24777,6537,3792,7640,1260,Light Ambulatory
160195,113683,44439,6406,8327,23180,11119,6096,Light Ambulatory
41184,24913,4618,1469,2223,2802,3609,4234,Light Ambulatory
353339,79433,49390,36708,15902,12910,16511,4784,Light Ambulatory
270459,28247,69812,3470,6664,7654,1701,4594,Light Ambulatory
2047283,256353,32725,67484,46496,22953,11529,2711,Light Ambulatory
90178,15365,3076,11445,3513,16270,10225,6204,Light Ambulatory
681328,116867,59249,18475,12536,22096,24177,12579,Light Ambulatory
225056,32673,10278,6316,4303,5216,5508,3391,Light Ambulatory
36561,53564,11386,2434,4542,6709,3602,882,Light Ambulatory
1481641,126570,10845,17241,12436,17629,6815,4721,Light Ambulatory
41035,21515,1762,23364,8136,16660,10949,4473,Light Ambulatory
752545,25416,6860,10594,14866,16918,5646,9400,Light Ambulatory
929815,141677,19008,7164,20970,8962,4259,3262,Light Ambulatory
120181,82444,16024,6398,8722,3025,5801,3485,Light Ambulatory
436919,252767,121653,27942,23087,18216,19925,16924,Light Ambulatory
41230,5450,18493,10047,16787,24641,11708,10280,Light Ambulatory
230257,93868,47404,14648,21284,25885,20481,4444,Light Ambulatory
72973,29243,69185,7032,7122,25952,9144,16005,Light Ambulatory
1951408,91620,30640,24620,49797,30447,38319,7259,Light Ambulatory
84416,20823,3752,5589,4772,2101,2688,2800,Light Ambulatory
22238,34358,24313,44322,9092,17197,34327,23661,Light Ambulatory
177644,55722,6033,22262,5328,10221,17627,3783,Light Ambulatory
125010,72510,42642,6433,7179,18217,15824,10705,Light Ambulatory
206957,32346,19382,16201,9338,7895,6793,4397,Light Ambulatory
188029,109119,6485,4673,4439,4464,7135,4626,Light Ambulatory
258641,284273,41200,21127,19680,40797,37676,7221,Light Ambulatory
1162651,269145,60108,62580,26346,36024,15604,5958,Light Ambulatory
108290,14315,7291,6697,4574,4596,2634,2114,Light Ambulatory
191661,60509,218740,84296,17178,23478,8538,10904,Light Ambulatory
407359,168610,74894,31139,14227,23961,7586,6281,Light Ambulatory
252841,63602,16861,16755,13178,43192,21275,7263,Light Ambulatory
102401,177841,17738,55702,21884,16651,20712,5363,Light Ambulatory
73423,38282,10388,5961,12740,23767,14524,20602,Light Ambulatory
76094,117923,69475,44070,25084,13142,15639,10677,Light Ambulatory
47127,53317,19172,15308,10253,34295,18162,9731,Light Ambulatory
2676676,59705,22134,42637,21360,24765,22884,12387,Light Ambulatory
506661,107476,14226,8002,30657,32016,12475,6197,Light Ambulatory
1275612,107158,10743,15226,6708,22776,26766,4041,Light Ambulatory
299896,144173,17862,19635,11171,14696,26929,18777,Light Ambulatory
1079770,92954,61236,24204,13017,14881,14249,6651,Light Ambulatory
113834,18120,4537,5807,6997,2207,6990,3341,Light Ambulatory
484423,459885,44450,35659,73100,31961,39799,11653,Light Ambulatory
664920,228179,104866,43693,22844,50189,27109,10105,Light Ambulatory
477422,130861,41287,29188,45727,32332,12188,7978,Light Ambulatory
108444,6815,9718,4517,2374,4779,5302,863,Light Ambulatory
265519,316100,57420,46182,82381,46266,15001,3049,Light Ambulatory
55627,33781,8056,5794,5488,2444,1348,977,Light Ambulatory
163069,52736,8990,6571,23300,6703,11296,4031,Light Ambulatory
196027,182865,41236,3502,27466,25306,12314,18773,Light Ambulatory
639305,190190,37991,40806,19802,18151,24909,6202,Light Ambulatory
126372,47309,10817,12122,11092,13330,28205,10752,Light Ambulatory
863497,56505,3291,18628,12718,19144,15240,8070,Light Ambulatory
899847,320467,35344,28372,33761,28921,45814,11437,Light Ambulatory
1721844,159263,28793,4387,14167,6333,4269,1389,Light Ambulatory
326588,101510,13895,8328,15614,8240,3303,6455,Light Ambulatory
67990,19920,8646,3045,1133,1871,1354,368,Light Ambulatory
839254,194448,45148,40050,66871,57502,7683,22583,Light Ambulatory
728868,113269,17272,29968,23057,32642,19685,4393,Light Ambulatory
450024,157404,21018,23739,24652,23874,14087,6259,Light Ambulatory
101494,7577,2832,4239,7570,3655,2720,1574,Light Ambulatory
16774,5528,9490,6706,11825,8780,7238,9026,Light Ambulatory
433507,235803,38461,13118,11939,33962,36370,13250,Light Ambulatory
584903,662047,89648,25714,105366,17412,21716,13370,Light Ambulatory
75124,95486,27271,4553,14061,9426,4369,1111,Light Ambulatory
223273,46992,4932,5432,2547,9314,4683,1438,Light Ambulatory
925301,52005,31396,7624,12938,31782,17699,4394,Light Ambulatory
85549,253460,22900,43607,17276,23255,8314,2580,Light Ambulatory
485548,312585,13912,50892,31584,22968,31427,13388,Light Ambulatory
78595,62956,35901,11983,12503,14720,8259,22218,Light Ambulatory
92382,45772,36218,21813,11026,9586,28443,21893,Light Ambulatory
1045306,36608,46990,15632,15718,25396,20640,24419,Light Ambulatory
133846,56125,18598,3437,24530,11472,21112,10166,Light Ambulatory
5428,46194,8929,15572,15144,14624,30248,15340,Light Ambulatory
653097,535384,8357,25402,19910,16416,24121,6668,Light Ambulatory
127648,29292,11059,14651,11292,26390,58428,14867,Light Ambulatory
392997,85122,10779,15929,6664,10490,5069,7758,Light Ambulatory
113941,30929,21835,4567,5576,2108,3693,1442,Light Ambulatory
450177,116519,20903,23456,13679,4998,7489,6223,Light Ambulatory
358527,79780,10520,9277,11559,6535,4139,3313,Light Ambulatory
237819,12208,9222,10548,1305,3907,4762,2656,Light Ambulatory
129579,115777,21510,10332,43432,13124,19370,2389,Light Ambulatory
476765,115671,19700,9597,7043,5749,2180,1925,Light Ambulatory
595537,177057,33277,11748,63436,51844,19149,5319,Light Ambulatory
599851,663612,3001,89785,50443,49711,31066,24993,Light Ambulatory
1823889,1134047,51480,247223,137033,154192,38360,33144,Light Ambulatory
981688,206350,98654,37025,7931,18667,12974,11238,Light Ambulatory
1515834,565995,275433,59550,74254,31837,25103,11048,Light Ambulatory
801311,88408,41229,2964,4168,4662,2080,637,Light Ambulatory
1375657,113662,18185,5235,17569,15531,4961,1579,Light Ambulatory
1249365,643593,115684,43224,108527,73647,72537,13982,Light Ambulatory
2321778,52818,21236,17508,5526,10297,4069,4360,Light Ambulatory
313086,9100,7043,808,1586,2949,3680,1031,Light Ambulatory
1077594,625937,67102,40039,156312,117077,20458,2441,Light Ambulatory
1247666,101247,62576,5007,29604,19580,17191,17376,Light Ambulatory
1076537,172354,95757,36111,27957,14270,28964,8177,Light Ambulatory
223483,11182,2441,3295,3245,2079,2280,829,Light Ambulatory
79562,14035,1186,510,448,898,289,681,Light Ambulatory
1413506,123029,10969,7034,17052,5137,3280,1736,Light Ambulatory
1549664,239785,24079,16151,42104,20098,9091,6382,Light Ambulatory
237584,18998,2221,2544,4618,986,975,410,Light Ambulatory
327159,38572,12448,3748,16272,3811,4018,1123,Light Ambulatory
773322,290045,64440,74558,35506,38113,10912,4199,Light Ambulatory
113435,94521,18591,9268,14598,16458,6355,7114,Light Ambulatory
421395,88154,23514,18232,31333,23374,7691,3859,Light Ambulatory
51101,38256,3295,2533,18041,5188,3397,1240,Light Ambulatory
835001,202465,12015,20466,4814,22727,10243,16885,Light Ambulatory
386469,40434,2362,16998,14380,18697,12951,10616,Light Ambulatory
289174,121993,16569,28881,14058,31051,2659,6107,Light Ambulatory
67840,69828,11943,41466,4480,15583,6160,7675,Light Ambulatory
19422,17814,4277,2434,891,1880,292,240,Light Ambulatory
1091996,98009,39828,29540,23925,13599,8740,6337,Light Ambulatory
733516,144300,10981,40573,23059,14819,8967,8603,Light Ambulatory
392156,91586,56380,24884,14887,12658,10062,5541,Light Ambulatory
451347,296721,45770,53741,49526,13284,10898,5155,Light Ambulatory
207056,46383,17423,13016,11751,4887,2490,836,Light Ambulatory
452321,437487,67200,26782,13534,22662,9832,7681,Light Ambulatory
360468,60968,3317,6328,1491,1423,1892,1308,Light Ambulatory
177173,43409,12151,4096,775,4958,1286,1611,Light Ambulatory
129383,84132,14991,18631,12362,10948,17074,6886,Light Ambulatory
84426,57927,56165,31615,5873,18259,14290,9956,Light Ambulatory
2334293,201464,17161,24852,15449,12940,9140,3719,Light Ambulatory
262906,16687,3681,4879,2718,4377,912,352,Light Ambulatory
410085,120353,31601,17317,20529,12810,5161,4142,Light Ambulatory
1869270,149162,29507,60670,25624,39449,17155,7431,Light Ambulatory
292471,86886,37646,65781,10246,13313,6695,4462,Light Ambulatory
799194,151271,194057,114386,55481,32277,6238,1594,Light Ambulatory
342697,98547,25969,27498,14102,7913,1374,1027,Light Ambulatory
1331901,115015,83718,26978,10380,9060,6634,2123,Light Ambulatory
743457,234160,34628,12125,23292,22673,8055,4650,Light Ambulatory
523659,810450,24453,48696,32769,71234,21886,11970,Light Ambulatory
181995,47188,2872,2916,7228,4081,1988,2206,Light Ambulatory
396332,611341,93057,10426,41016,32877,14810,5896,Light Ambulatory
848216,798959,13062,19293,26993,22955,10304,5551,Light Ambulatory
144125,28081,16564,4422,5438,8657,3452,1588,Light Ambulatory
1467764,72077,1646,44250,19089,31153,6689,10812,Light Ambulatory
537391,294923,39836,36685,31966,9555,7996,4150,Light Ambulatory
155747,38571,17821,7433,7841,3399,3125,984,Light Ambulatory
161825,158482,51012,15759,13974,18403,10315,5718,Light Ambulatory
21348,4037,7711,539,1961,638,690,494,Light Ambulatory
150074,186029,11090,7314,10401,13722,10372,6449,Light Ambulatory
167397,37210,44346,3525,13670,11641,8791,3285,Light Ambulatory
494584,124106,71363,17084,22905,15663,12188,2134,Light Ambulatory
1107886,191531,11194,34383,19753,5799,5372,1146,Light Ambulatory
150313,114429,12992,10356,4781,3589,1075,435,Light Ambulatory
129341,89309,21437,5317,4135,1988,4623,4863,Light Ambulatory
265421,118497,2850,1235,3678,4563,3434,2339,Light Ambulatory
139422,14505,5980,4445,3846,4752,3928,802,Light Ambulatory
153199,66969,1926,2487,7102,3363,2939,2383,Light Ambulatory
415085,38867,19206,36189,16432,13206,17043,12620,Light Ambulatory
1237778,197258,38295,14903,17121,8352,6337,5099,Light Ambulatory
825253,83312,35688,43390,10360,25295,15124,4295,Light Ambulatory
64889,97418,21002,3428,3219,3237,1372,695,Light Ambulatory
729052,16716,4599,8798,3893,3825,3810,2833,Light Ambulatory
25060,30856,5047,2844,1433,1358,674,811,Light Ambulatory
199256,30014,5426,1076,4797,2500,2812,892,Light Ambulatory
502887,39194,8972,4309,2940,2028,1983,1106,Light Ambulatory
179469,135522,46436,5965,12620,20242,14141,3531,Light Ambulatory
580164,176582,15612,8956,11118,3687,2936,1390,Light Ambulatory
442452,45706,6090,15387,10866,7001,10906,907,Light Ambulatory
194562,69838,10781,17880,13849,9176,1661,1043,Light Ambulatory
726050,96729,17356,4454,29382,9424,15327,1759,Light Ambulatory
763672,178452,61068,16444,46883,31617,15995,8280,Light Ambulatory
109039,20104,6907,7408,5606,2112,644,418,Light Ambulatory
377555,25414,1977,1156,1373,1797,981,273,Light Ambulatory
815291,36660,25628,17747,13168,3188,2091,790,Light Ambulatory
217585,112129,44490,3964,12404,9646,877,1143,Light Ambulatory
2355253,133266,18970,27990,52056,21961,8127,5684,Light Ambulatory
80876,26011,607,4074,2766,1437,427,354,Light Ambulatory
65313,44439,24966,7325,2867,4431,2288,1851,Light Ambulatory
159179,67215,38301,6247,4232,4947,5302,783,Light Ambulatory
221461,24137,11177,1972,4744,2051,644,314,Light Ambulatory
1436869,59931,27816,12743,15332,7771,1131,1040,Light Ambulatory
203593,44298,19770,10632,9109,9996,7655,554,Light Ambulatory
40411,16463,3525,1811,3780,3801,3478,1934,Light Ambulatory
292018,263563,10331,8616,5724,5080,9608,3322,Light Ambulatory
1483605,208880,64833,20237,15159,12600,7892,4761,Light Ambulatory
568379,66840,957,13697,13338,19321,10705,1514,Light Ambulatory
525522,54561,3062,7020,27096,10873,11003,7040,Light Ambulatory
1149556,117002,11908,127283,8949,8294,21852,3638,Light Ambulatory
351839,91958,52118,26668,5919,14135,11444,2178,Light Ambulatory
492874,61716,13450,6644,6871,6470,6204,1966,Light Ambulatory
1242702,324834,526489,51311,60414,55231,19567,10308,Light Ambulatory
773976,180108,12060,17244,31786,18371,7262,4095,Light Ambulatory
548987,227254,21559,14697,23611,8425,6370,3464,Light Ambulatory
26763,129607,3072,5194,3224,3455,2191,766,Light Ambulatory
610281,217095,13705,44404,11049,14632,12625,2901,Light Ambulatory
617349,143632,17828,41940,11572,13160,7359,3195,Light Ambulatory
1437585,338999,72589,67797,70983,29249,51312,10139,Light Ambulatory
1730091,141405,61650,70097,63536,59865,25706,5640,Light Ambulatory
1147708,334040,32044,10610,21493,29502,20345,7960,Light Ambulatory
252691,34936,8971,6824,989,2076,636,619,Light Ambulatory
736588,102820,39882,48318,52089,23541,9072,8013,Light Ambulatory
157385,62267,9266,13342,26082,8755,3763,1408,Light Ambulatory
153650,65130,6521,3494,5174,5478,931,433,Light Ambulatory
1072543,100146,16115,14909,27731,17972,4697,3027,Light Ambulatory
100952,30245,4364,14063,5509,5283,2827,2331,Light Ambulatory
143769,88117,7055,5642,4055,2627,1285,334,Light Ambulatory
164056,157485,31335,16833,16049,3188,3358,2496,Light Ambulatory
117532,22307,29919,7900,2767,1495,1272,751,Light Ambulatory
55187,14958,4561,1609,850,262,433,194,Light Ambulatory
1949009,601128,53434,63148,5017,9420,8474,4467,Light Ambulatory
352676,76017,50246,7674,13570,9966,5782,4142,Light Ambulatory
290400,29313,18048,5133,3317,998,1460,488,Light Ambulatory
1601579,86260,18418,7498,6827,5758,1743,3982,Light Ambulatory
1850311,88595,27034,14274,11029,8367,9400,4202,Light Ambulatory
193807,63661,55390,8445,22890,9076,5625,3533,Light Ambulatory
161770,130567,39894,16188,5552,12884,6492,1966,Light Ambulatory
40596,52884,54106,7765,6996,8464,3981,1516,Light Ambulatory
173847,59607,18483,13521,12005,5861,6365,2398,Light Ambulatory
924262,168618,26717,21148,56890,24836,24503,11815,Light Ambulatory
846056,47099,52200,37208,27709,15873,15995,7851,Light Ambulatory
219205,18907,4830,1785,1317,929,1070,271,Light Ambulatory
45688,41736,17432,3414,4164,5440,3922,632,Light Ambulatory
1140971,212635,77598,22684,15604,6991,3091,3457,Light Ambulatory
78016,21466,10033,2205,1493,2176,802,371,Light Ambulatory
721783,156013,63589,19754,26800,11533,1619,1198,Light Ambulatory
176667,17724,2286,1623,3419,4495,3992,1114,Light Ambulatory
46230,11892,862,5527,4645,1382,636,354,Light Ambulatory
439669,33331,4071,3316,6557,2599,2472,768,Light Ambulatory
238427,427264,165125,10870,21937,11039,10184,9221,Light Ambulatory
3083433,215520,55716,14862,5558,15561,7615,6890,Light Ambulatory
356776,93709,19405,28201,25989,4105,3567,3613,Light Ambulatory
273061,80147,1316,12505,10074,2013,2993,1285,Light Ambulatory
870284,103101,45133,30212,16081,11147,3847,2143,Light Ambulatory
46449,16524,3180,584,1304,433,276,189,Light Ambulatory
116105,5179,1592,1373,1795,510,262,69,Light Ambulatory
47741,37706,6682,27529,16121,6602,5073,4461,Light Ambulatory
3084947,168449,82519,17363,22670,9835,8654,4103,Light Ambulatory
13564,3654,1386,618,1352,600,477,205,Light Ambulatory
57587,17878,11454,5568,2089,2179,985,510,Light Ambulatory
87058,19865,2478,1009,3521,986,2073,881,Light Ambulatory
265085,62571,65370,4219,19590,7897,2420,764,Light Ambulatory
1251547,289010,50423,6437,35994,27158,5662,8170,Light Ambulatory
157249,157947,31056,30406,9394,15126,6149,4612,Light Ambulatory
42270,20127,5591,6211,3521,4875,1988,1449,Light Ambulatory
236497,394950,32321,6988,12248,15574,7533,3202,Light Ambulatory
101958,41812,7671,10577,17677,17432,4460,3096,Light Ambulatory
123840,57607,23154,19716,9004,17269,2025,4347,Light Ambulatory
61054,6805,8219,17778,7722,7493,6836,2046,Light Ambulatory
587875,60498,6321,7763,30005,29049,3299,5757,Light Ambulatory
82486,24988,5797,4456,4023,2461,717,1025,Light Ambulatory
26977,13918,2753,5971,4008,2079,3589,583,Light Ambulatory
116623,80958,17020,10205,9265,2300,840,368,Light Ambulatory
1250907,505350,19548,23378,19296,11356,6035,3350,Light Ambulatory
119342,60417,13682,5261,3904,7544,1421,422,Light Ambulatory
40175,38851,8279,1804,1262,4433,1228,1129,Light Ambulatory
76629,52690,20375,11390,6793,3633,2468,714,Light Ambulatory
748651,33796,36099,4523,9968,6828,2624,12844,Light Ambulatory
432324,31412,3945,15322,18700,36681,2354,5392,Light Ambulatory
166413,213582,31915,23617,18816,6581,7491,1885,Light Ambulatory
185147,29286,7039,4427,4700,6431,1062,519,Light Ambulatory
134380,40572,28791,13587,6475,9209,1461,1413,Light Ambulatory
146215,60957,14189,14039,9888,8256,2145,1012,Light Ambulatory
160883,39572,32784,9402,4247,2017,663,872,Light Ambulatory
172649,41930,28773,2804,3118,2086,1410,674,Light Ambulatory
99286,95968,27565,10080,8166,18173,4871,6107,Light Ambulatory
181427,7676,7003,3956,6954,4476,1892,709,Light Ambulatory
109101,24653,11212,12878,18265,10854,17767,4123,Light Ambulatory
152249,13769,39087,1741,6288,2417,792,1393,Light Ambulatory
2856,20540,6135,4592,5487,4410,6538,1543,Light Ambulatory
32922,69266,13195,831,2409,587,508,185,Light Ambulatory
1574601,304837,124099,28824,22582,23987,13070,3826,Light Ambulatory
138971,63305,9836,2411,4351,2176,1129,881,Light Ambulatory
9906,66511,9051,14718,10960,5710,2485,2913,Light Ambulatory
106275,4417,659,1070,684,1385,486,137,Light Ambulatory
133005,19545,3566,3139,867,1057,519,263,Light Ambulatory
716784,109275,15389,7917,5571,8530,4349,1564,Light Ambulatory
46697,11628,3139,3513,5719,2025,1867,802,Light Ambulatory
540030,208186,63508,10081,33124,22560,12595,5261,Light Ambulatory
20099,32244,10865,13463,13495,14450,4994,2445,Light Ambulatory
243660,58925,3642,6857,2467,2882,3703,2322,Light Ambulatory
2594551,28880,28068,12740,17376,6320,2976,1401,Light Ambulatory
119969,33051,10293,4659,16823,4361,2259,4051,Light Ambulatory
1133830,108697,17294,39700,44108,39183,21586,2296,Light Ambulatory
2358867,38104,29702,35878,19920,25144,11653,10824,Light Ambulatory
481384,84399,35402,12891,6865,6498,4504,1629,Light Ambulatory
1505521,1103472,200443,75675,68893,40901,13256,8727,Light Ambulatory
73059,48132,25417,13936,35884,24644,18665,4840,Light Ambulatory
871277,70088,67612,27975,5280,12376,9818,4790,Light Ambulatory
539683,69077,18661,11792,6289,3251,1983,1811,Light Ambulatory
48285,39694,18016,17360,7607,8821,5806,2286,Light Ambulatory
1200626,212948,46488,60831,20980,21652,9784,4218,Light Ambulatory
175912,94930,12679,9636,7790,2833,938,864,Light Ambulatory
184144,54686,6462,8263,2868,2802,3524,517,Light Ambulatory
1140107,65401,57379,64674,24964,33836,24822,5698,Light Ambulatory
252443,81406,16770,33500,10623,8190,10049,2602,Light Ambulatory
607496,174307,47853,11598,13187,18157,15211,2844,Light Ambulatory
269307,33119,21447,7431,5438,2724,3118,1104,Light Ambulatory
394738,48851,78763,10443,8643,12782,12198,3323,Light Ambulatory
1074695,67440,8685,10635,13734,8883,4501,2082,Light Ambulatory
356761,336095,16743,16690,32359,31057,25892,5880,Light Ambulatory
808845,34545,50762,15264,22041,8796,4894,4051,Light Ambulatory
415025,14580,12699,13731,15521,6236,3875,760,Light Ambulatory
155839,74378,13573,16701,13718,5270,4481,776,Light Ambulatory
415767,72404,11137,10362,7496,8113,2448,2311,Light Ambulatory
900654,286911,36678,79114,11420,23130,15591,9143,Light Ambulatory
122385,16325,4385,5681,3300,2539,725,462,Light Ambulatory
26646,19843,4654,3231,7450,10848,2689,1425,Light Ambulatory
41113,8164,12317,1053,2944,4756,2988,4278,Light Ambulatory
175857,180812,36691,81035,23513,8278,6221,2476,Light Ambulatory
379485,29551,8873,688,7801,2844,1402,422,Light Ambulatory
79130,55407,28421,16130,16192,4644,646,717,Light Ambulatory
295930,184330,10538,6495,8528,5160,4007,2489,Light Ambulatory
198123,63986,26341,7861,7720,3593,1668,1176,Light Ambulatory
473472,34640,4957,1724,942,2167,471,719,Light Ambulatory
179749,18339,78590,27753,15284,7338,6457,2393,Light Ambulatory
73351,140352,40232,65794,6249,21585,9721,7164,Light Ambulatory
630646,131986,16810,3629,2566,4026,1805,2891,Light Ambulatory
571605,144616,68592,36394,63321,20660,21423,7331,Light Ambulatory
127894,89057,8534,12508,6722,1876,626,1100,Light Ambulatory
172251,145496,13919,985,10695,11578,2222,1792,Light Ambulatory
203382,5894,729,1238,794,488,493,220,Light Ambulatory
48288,30033,27556,5442,7912,5501,4957,4468,Light Ambulatory
20921,28508,50658,9658,8516,5133,4513,4172,Light Ambulatory
92717,85008,6121,6890,1894,2190,682,876,Light Ambulatory
251453,24014,2912,1420,4052,2142,1439,815,Light Ambulatory
151264,60630,38174,6603,2767,9974,10375,3882,Light Ambulatory
394595,75282,55788,39353,11781,4794,5017,4157,Light Ambulatory
65278,5862,6665,3905,7281,3248,2499,775,Light Ambulatory
144521,61822,17420,4216,4075,3493,2172,893,Light Ambulatory
52905,133894,37548,14933,67884,5519,6984,1959,Light Ambulatory
179074,60961,18142,7090,9867,5674,2475,963,Light Ambulatory
36309,16774,11615,2482,4941,4045,1999,293,Light Ambulatory
148496,38929,12805,12683,15555,7651,2740,1371,Light Ambulatory
59666,25460,9350,801,4138,1621,1491,543,Light Ambulatory
622162,140362,10760,3443,7102,2691,2359,534,Light Ambulatory
435090,126531,56844,6233,18898,20869,6521,2849,Light Ambulatory
51513,64200,1742,7050,7363,2906,1268,321,Light Ambulatory
90033,4917,13740,4518,5520,3923,903,1633,Light Ambulatory
770537,324383,17691,55227,11881,10600,4284,4778,Light Ambulatory
167110,7320,2726,870,1045,1671,574,254,Light Ambulatory
722584,426530,147766,51671,43165,22012,31340,9510,Light Ambulatory
1437430,95917,22194,16428,36281,19292,14544,11765,Light Ambulatory
242523,66867,40855,12226,18884,10058,3859,3129,Light Ambulatory
325915,63245,11352,28979,5051,7684,6613,2508,Light Ambulatory
1110821,156681,18529,17758,15272,4136,1945,2262,Light Ambulatory
507694,98403,32195,6287,6803,2491,2115,1537,Light Ambulatory
57060,23734,3613,1723,5133,2634,2234,639,Light Ambulatory
252777,167175,56064,18185,27436,9986,8587,3554,Light Ambulatory
181440,85066,46638,9723,8167,18641,13722,2285,Light Ambulatory
42778,13364,7049,6139,9451,21559,4649,1956,Light Ambulatory
247503,75435,12870,20605,8562,5399,2621,3717,Light Ambulatory
186418,52355,43716,15221,12848,22097,18625,4520,Light Ambulatory
712256,71382,23438,16191,16311,6967,10647,7195,Light Ambulatory
1251751,44429,34132,98210,16640,19493,41819,19836,Light Ambulatory
251162,17985,1089,1114,3423,2053,2019,1505,Light Ambulatory
52090,30971,5880,6734,1260,1102,484,146,Light Ambulatory
143782,19251,9759,5396,2212,1166,568,919,Light Ambulatory
250506,134690,27967,10019,4871,3612,4035,3499,Light Ambulatory
1675558,154865,29995,36716,8888,13702,9867,18463,Light Ambulatory
1506363,499123,88568,32864,43754,48180,36724,26251,Light Ambulatory
1568084,69863,6119,11137,7677,12013,8341,6222,Light Ambulatory
166033,65427,10511,6413,4777,5945,2692,301,Light Ambulatory
49280,23639,1455,3269,3418,2272,1889,689,Light Ambulatory
27347,47471,213465,9815,6962,4802,5536,3669,Light Ambulatory
585519,80507,109918,18194,36295,7358,4582,3151,Light Ambulatory
294684,54583,29420,10045,12820,4373,1924,1186,Light Ambulatory
2108641,329051,169795,42159,26454,11930,7839,4885,Light Ambulatory
9093,6701,3483,2577,2996,1422,680,138,Light Ambulatory
1105363,122366,11878,3647,13870,1914,2209,2681,Light Ambulatory
89802,58061,35325,1789,8868,2178,1847,1157,Light Ambulatory
185530,43798,12060,8260,4495,5977,501,837,Light Ambulatory
138648,21683,6590,2382,9290,3422,1164,1644,Light Ambulatory
24865,8339,3210,1612,932,658,308,99,Light Ambulatory
